image                                               trivy    grype    docker    govulncheck    twistcli
------------------------------------------------  -------  -------  --------  -------------  ----------
test-go-container-image:dockersdk-go-alpine             0        0         0              0           0
test-go-container-image:gnutls-go-alpine                1        1         1              0           1
test-go-container-image:hello-go-alpine                 0        0         0              0           0
test-go-container-image:hello-go-chainguard             2        4         0              0           0
test-go-container-image:hello-go-scratch                0        0         0              0           0
test-go-container-image:hello-go1.15.15-alpine          0        0         0              0          28
test-go-container-image:hello-go1.16.15-alpine          0        0         0              0          19
test-go-container-image:hello-go1.17.13-alpine          0        0         0              0           4
test-go-container-image:hello2-go1.15.15-alpine         0        0         0              0          28
test-go-container-image:joinpath-go-alpine              0        0         0              0           0
test-go-container-image:joinpath-go-scratch             0        0         0              0           0
test-go-container-image:joinpath-go1.19.0-alpine        0        0         0              2           4
test-go-container-image:jwtgo-go-alpine                 2        0         0              0           0
